City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Scarborough,GB,54.28,-0.4,52.0,90,100,11.01,overcast clouds
323,Honningsvag,NO,70.98,25.97,46.4,65,98,5.82,overcast clouds
324,Ivybridge,GB,50.39,-3.92,61.0,98,98,4.0,overcast clouds
325,Ler,SS,8.3,30.14,75.04,85,100,1.99,overcast clouds
326,Richards Bay,ZA,-28.78,32.04,67.44,75,95,4.16,overcast clouds
327,Mackenzie,CA,55.3,-123.17,59.0,72,1,10.29,clear sky
328,Biak,ID,-0.91,122.88,75.6,81,11,8.61,few clouds
329,Mahon,ES,39.89,4.27,78.8,83,0,5.82,clear sky
330,Xichang,CN,27.9,102.26,67.66,74,98,0.27,overcast clouds
331,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,65,20,16.11,few clouds
332,Plettenberg Bay,ZA,-34.05,23.37,55.4,74,55,12.44,broken clouds
333,Usinsk,RU,65.99,57.53,45.48,74,7,8.46,clear sky
334,Rongcheng,CN,30.63,117.85,70.57,86,0,1.1,clear sky
335,Porto Velho,BR,-8.76,-63.9,98.6,35,40,3.36,scattered clouds
336,Cidreira,BR,-30.18,-50.21,68.95,73,51,3.44,broken clouds
337,Pedasi,PA,7.53,-80.03,81.9,76,3,9.17,light rain
338,Portland,US,45.52,-122.68,73.99,53,1,4.7,clear sky
339,Kenai,US,60.55,-151.26,57.0,81,1,4.7,clear sky
340,Port Lincoln,AU,-34.73,135.87,58.6,45,0,16.11,clear sky
341,Seoul,KR,37.57,126.98,78.8,94,75,1.05,broken clouds
342,Yar-Sale,RU,66.83,70.83,58.23,73,100,1.1,overcast clouds
343,Gidam,IN,18.98,81.4,72.0,93,100,3.29,overcast clouds
344,Oranjemund,NA,-28.55,16.43,55.71,79,0,11.1,clear sky
345,Ilawe,NG,7.87,4.43,80.6,78,100,5.75,overcast clouds
346,Ponta Delgada,PT,37.73,-25.67,77.0,83,20,14.99,few clouds
347,Ulaanbaatar,MN,47.91,106.88,50.0,87,20,2.24,few clouds
348,Waipawa,NZ,-41.41,175.52,55.4,76,100,18.34,overcast clouds
349,Altamont,US,42.21,-121.74,79.0,16,1,3.36,clear sky
350,Yulara,AU,-25.24,130.99,59.0,22,0,8.05,clear sky
351,Saint George,US,37.1,-113.58,96.8,13,1,5.82,clear sky
352,Bentiu,SS,9.23,29.83,75.34,82,96,1.86,overcast clouds
353,Inuvik,CA,68.35,-133.72,50.0,61,20,8.05,few clouds
354,Neepawa,CA,50.23,-99.47,71.6,46,75,20.8,broken clouds
355,Sorong,ID,-0.88,131.25,77.95,84,100,12.3,light rain
356,Tanete,ID,-3.94,119.78,73.96,90,3,6.96,clear sky
357,Kaohsiung,TW,22.62,120.31,79.0,88,40,2.24,scattered clouds
358,Vanderhoof,CA,54.02,-124.02,55.15,74,100,8.03,light rain
359,Mollendo,PE,-17.02,-72.01,62.69,75,91,9.78,overcast clouds
360,Klaksvik,FO,62.23,-6.59,48.2,76,100,9.17,light rain
361,Kushima,JP,31.46,131.23,78.01,94,24,4.0,few clouds
362,Punta Alta,AR,-38.88,-62.07,62.71,51,92,11.63,overcast clouds
363,San Marcos,US,33.14,-117.17,93.0,61,1,8.05,clear sky
